,ita,list_of_words,MAN,WOMAN,PERSON,associated_word
98,BIMBA,CHILD,-0.0111029800027608,0.0972833707928657,0.1290779113769531,person
99,BIMBO,CHILD,-0.0111029800027608,0.0972833707928657,0.1290779113769531,person
100,BIOLOGA,BIOLOGIST,0.0043209567666053,0.125181958079338,0.1381081044673919,person
101,BOCCHINARA,MOUTHPIECE,0.0527753978967666,0.1279513835906982,0.1349543631076812,person
102,BRAV'UOMO,GOOD MAN,-0.0405986681580543,0.0003569587424863,0.0498641356825828,person
103,BRAVA,GOOD BOY,-0.0405986681580543,0.0003569587424863,0.0498641356825828,person
104,BRAVA PERSONA,GOOD PERSON,-0.0405986681580543,0.0003569587424863,0.0498641356825828,person
105,BRAVO,GOOD BOY,-0.0405986681580543,0.0003569587424863,0.0498641356825828,person
106,BRICOLEUR,BRICOLEUR,0.0683484598994255,0.1144469678401947,0.1082608103752136,woman
107,BRICOLEUSE,BRICOLEUR,0.0683484598994255,0.1144469678401947,0.1082608103752136,woman
108,BRICOMEN,BRICOLEUR,0.0683484598994255,0.1144469678401947,0.1082608103752136,woman
109,BRUTTO,UGLY,-0.0162792615592479,0.0788731202483177,0.0733376294374466,woman
110,BUGIARDA,YOU LIAR,0.0907971635460853,0.2369549423456192,0.3893338441848755,person
111,BUONA,GOOD,-0.0405986681580543,0.0003569587424863,0.0498641356825828,person
112,CACCIATORE,SOCCER PLAYER,0.070745013654232,0.1823505163192749,0.252663105726242,person
113,CACCIATRICE,SOCCER PLAYER,0.070745013654232,0.1823505163192749,0.252663105726242,person
114,CAGACAZZI,FUCKS,0.0212766751646995,0.0853646770119667,0.02536834590137,woman
115,CALCIATORE,SOCCER PLAYER,0.070745013654232,0.1823505163192749,0.252663105726242,person
116,CALCIATRICE,SOCCER PLAYER,0.070745013654232,0.1823505163192749,0.252663105726242,person
117,CALCOLATORE,COMPUTER,0.0216634087264537,0.1076170653104782,0.0829018056392669,woman
118,CAMBIARE LAMPADINE,CHANGE LIGHT BULBS,-0.0109746027737855,0.0017794911982491,0.0815312415361404,person
119,CAMBIARE LE LAMPADINE,CHANGE LIGHT BULBS,-0.0109746027737855,0.0017794911982491,0.0815312415361404,person
120,CAMERIERA,WAITER,0.035313181579113,0.1295399367809295,0.2242051512002945,person
121,CAMERIERE,WAITER,0.035313181579113,0.1295399367809295,0.2242051512002945,person
122,CAMIONISTA,TRUCK DRIVER,0.0604101382195949,0.1000145450234413,0.1471157670021057,person
123,CANTANTE,SINGER,0.0343220941722393,0.1473599374294281,0.2365901172161102,person
124,CANTARE,SING,-0.0006124392384663,0.0042814356274902,0.0465986132621765,person
125,CANTORE,SINGER,0.0343220941722393,0.1473599374294281,0.2365901172161102,person
126,CAPO,HEAD,-0.023506324738264,0.0867842361330986,0.1532754153013229,person
127,CAPO OFFICINA,WORKSHOP HEAD,-0.0263022258877754,0.0731977820396423,0.1034907400608062,person
128,CAPO PROGETTO,PROJECT LEADER,0.0008636974380351,0.0143159423023462,0.0601847842335701,person
129,CAPOFAMIGLIA,HOUSEHOLDER,0.1482555866241455,0.2273332774639129,0.3502625226974487,person
130,CARABINIERE,CARABINIER,0.0569242127239704,0.0605630986392498,0.1667155474424362,person
131,CARDIOLOGA,CARDIOLOGIST,-0.0164697933942079,0.1139351725578308,0.1245918124914169,person
132,CARPENTIERE,CARPENTER,0.0878595635294914,0.1655291765928268,0.2398001998662948,person
133,CARPENTIERIE,CARPENTER,0.0878595635294914,0.1655291765928268,0.2398001998662948,person
134,CASALINGA,HOMEMADE,0.0177241954952478,0.1401945948600769,0.0907409861683845,woman
135,CASALINGO,HOMEMADE,0.0177241954952478,0.1401945948600769,0.0907409861683845,woman
136,CASINISTA,CASINIST,0.1426311284303665,0.1909052282571792,0.1934429109096527,person
137,CASSIERE,CASHIER,0.0197514817118644,0.1073359325528144,0.1742376685142517,person
138,CAVALIERE,KNIGHT,0.0238606315106153,0.1076050624251365,0.1295533776283264,person
139,CESTISTA,BASKETBALL PLAYER,0.0729490891098976,0.1568339020013809,0.2394673228263855,person
140,CHE CONTRIBUISCE  ALLA VITA QUOTIDIANA,THAT CONTRIBUTES TO EVERYDAY LIFE,0.0249013360589742,0.0995635241270065,0.1288777738809585,person
141,CHEF,CHEF,0.0522531606256961,0.1176410242915153,0.1436890512704849,person
142,CHIACCHIERONA,CHATTERY,0.1072224378585815,0.1052526161074638,0.1560449749231338,person
143,CHIACCHIERONE,CHATTERY,0.1072224378585815,0.1052526161074638,0.1560449749231338,person
144,CHIRURGO,SURGEON,0.0362052433192729,0.1392974406480789,0.1525349020957946,person
145,CHITARRISTA,GUITARIST,0.1020186617970466,0.1381293833255767,0.2639582455158233,person
146,CICCIONE,FAT,0.002902700798586,0.0681775510311126,0.0789217352867126,person
147,CICLISTA,CYCLIST,0.0285355765372514,0.1300031393766403,0.2289278507232666,person
148,CITTADINA,CITIZEN,-0.0028546229004859,0.1019665151834487,0.1499099731445312,person
149,CITTADINO,CITIZEN,-0.0028546229004859,0.1019665151834487,0.1499099731445312,person
150,CLIENTE,CUSTOMER,0.0621442422270774,0.1256089657545089,0.1999385505914688,person
151,COGLIONE,ASSHOLE,0.0635539516806602,0.1002247333526611,0.1224258691072464,person
152,COGNATA,BROTHER IN LAW,0.0908555015921592,0.0927161499857902,0.1535149365663528,person
153,COGNATO,BROTHER IN LAW,0.0908555015921592,0.0927161499857902,0.1535149365663528,person
154,COINQUILINA,ROOMMATE,0.0305222123861312,0.1084897965192794,0.2020408809185028,person
155,COINQUILINO,ROOMMATE,0.0305222123861312,0.1084897965192794,0.2020408809185028,person
156,COLLABORARE ALLA STESURA DELL'OPERA,COLLABORATE IN THE DRAFTING OF THE WORK,0.0229907184839248,0.0405709370970726,0.0689127445220947,person
157,COLLABORATORE,COLLABORATOR,0.002424873644486,0.0456728562712669,0.1498231887817382,person
158,COLLABORATORE IN CASA,HOME COLLABORATOR,0.0068835690617561,0.0367193147540092,0.0524519309401512,person
159,COLLABORATORE PER LE FACCENDE DI CASA,COLLABORATOR FOR HOUSEWORK,0.0254291947931051,0.0775070488452911,0.1413539797067642,person
160,COLLABORATRICE,COLLABORATOR,0.002424873644486,0.0456728562712669,0.1498231887817382,person
161,COLLEGA,COLLEAGUE,0.0099150240421295,0.1349121630191803,0.2287714779376983,person
162,COMICA,COMIC,0.0298450980335474,0.1251966506242752,0.1383851319551468,person
163,COMICO,COMIC,0.0298450980335474,0.1251966506242752,0.1383851319551468,person
164,COMMERCIALISTA,BUSINESS CONSULTANT,-0.024117961525917,0.0724521651864051,0.0755841359496116,person
165,COMMERCIANTE,MERCHANT,0.0333627499639987,0.1049889847636222,0.1853451579809188,person
166,COMMESSA,SHOP ASSISTANT,0.0121025647968053,0.0491479150950908,0.0921822264790535,person
167,COMMESSO,SHOP ASSISTANT,0.0121025647968053,0.0491479150950908,0.0921822264790535,person
168,COMMISSARIA,COMMISSIONER,-0.0288286823779344,0.0952898785471916,0.1142357587814331,person
169,COMMITTENTE,CLIENT,0.0513762608170509,0.1173946633934974,0.1619458049535751,person
170,COMPAGNA,COMPANY,0.002050744369626,0.0568949393928051,0.1163078919053077,person
171,COMPAGNA DI LAVORO,WORK COMPANION,-0.0059094075113534,0.0605014488101005,0.0817965790629386,person
172,COMPAGNA DI STUDI,STUDENT COMPANION,0.0433871373534202,0.1301405578851699,0.2148386836051941,person
173,COMPAGNA DI VITA,LIFE PARTNER,0.0295837074518203,0.1315139681100845,0.1617126017808914,person
174,COMPAGNO,COMPANY,0.002050744369626,0.0568949393928051,0.1163078919053077,person
175,COMPAGNO DI VITA,LIFE PARTNER,0.0295837074518203,0.1315139681100845,0.1617126017808914,person
176,COMPETENTE,QUALIFIED,-0.0154334045946598,0.0958701968193054,0.0846343785524368,woman
177,COMPLICE,PARTNER IN CRIME,0.0402087084949016,0.1763948500156402,0.1737300604581833,woman
178,CON CARLA,WITH CARLA,0.1466603875160217,0.2720216810703277,0.2195757776498794,woman
179,CON GLI AMICI,WITH FRIENDS,0.0858539566397667,0.1005477756261825,0.2266239523887634,person
180,CON GLI ANIMALI,WITH ANIMALS,0.0382882989943027,0.0546831339597702,0.0567517429590225,person
181,CON I BAMBINI,WITH THE CHILDREN,0.0175932478159666,0.1115985959768295,0.1135133281350135,person
182,CON I FIGLI,WITH CHILDREN,0.0114245163276791,0.0977843701839447,0.1096002086997032,person
183,CON LA FAMIGLIA,WITH THE FAMILY,0.0446737445890903,0.1264297664165496,0.1194909363985061,woman
184,CONDOTTIERO,LEADER,0.0849527865648269,0.1269135773181915,0.217536449432373,person
185,CONDUCENTE,DRIVER,0.0601748712360858,0.1127674207091331,0.1937839835882187,person
186,CONDUTTORE,CONDUCTOR,0.0456109791994094,0.0785730332136154,0.1798926144838333,person
187,CONIUGE,SPOUSE,0.0401836521923542,0.2384067326784134,0.1558704525232315,woman
188,CONSIGLIERA,COUNSELOR,-0.0222249310463666,0.1127568855881691,0.1720147728919983,person
189,CONSIGLIERE,COUNSELOR,-0.0222249310463666,0.1127568855881691,0.1720147728919983,person
190,CONSORTE,WIFE,0.0556856282055377,0.3378883302211761,0.1286969631910324,woman
191,CONSULENTE,CONSULTANT,0.0202005952596664,0.1020733118057251,0.112969160079956,person
192,CONTABILE,ACCOUNTANT,-0.0228798203170299,0.1013353988528251,0.1610037088394165,person
193,CONTADINO,FARMER,0.0483974292874336,0.153043508529663,0.2066710591316223,person
194,CONTRALTO,ALTO,0.0224322490394115,0.1009405404329299,0.1201617568731308,person
195,CONVIVENTE,COhabitant,0.0581209175288677,0.2032568156719207,0.1475300341844558,woman
196,COORDINATRICE,COORDINATOR,0.0315777063369751,0.1452473700046539,0.2347735911607742,person
197,COPILOTA,CO-PILOT,-0.0035092420876026,0.0999121144413948,0.1649521887302398,person
198,CORISTA,CHOIR,-0.0368088521063327,0.0003951229155063,0.0708263665437698,person
199,CORRERE,RUN,0.0306632854044437,0.1153812780976295,0.1177302971482276,person
200,CORRIDORE,RUNNER,0.0797353833913803,0.1388902813196182,0.2168477326631546,person
201,COSTRUTTORE,BUILDER,0.0587547123432159,0.1372194588184356,0.2154760509729385,person
202,CREATURA,CREATURE,0.0588215179741382,0.0916779264807701,0.1229673698544502,person
203,CRISTIANA,CHRISTIAN,0.0133451111614704,0.137066513299942,0.2133145779371261,person
204,CRISTIANACCIO,CRISTIAN CHRISTIANS,0.0360263846814632,0.1606315374374389,0.2427211105823516,person
205,CRISTIANO,CHRISTIAN,0.0133451111614704,0.137066513299942,0.2133145779371261,person
206,CRISTO,CHRIST,0.029576264321804,0.1430091261863708,0.2798699736595154,person
207,CUCINARE,TO COOK,0.0483520776033401,0.1022958606481552,0.1310231387615203,person
208,CUCINARE L'ARROSTO,COOKING THE ROAST,0.0222220029681921,0.0590185895562171,0.0445290245115757,woman
209,CUCINIERA,COOK,0.0304586198180913,0.0883451923727989,0.1068124771118164,person
210,CUGINA,COUSIN,-0.0202691871672868,0.0898583382368087,0.1396828293800354,person
211,CUGINO,COUSIN,-0.0202691871672868,0.0898583382368087,0.1396828293800354,person
212,CUOCA,COOK,0.0304586198180913,0.0883451923727989,0.1068124771118164,person
213,CUOCO,COOK,0.0304586198180913,0.0883451923727989,0.1068124771118164,person
214,DANZATRICE,DANCER,0.039651982486248,0.1637114435434341,0.2375948280096054,person
215,DARSI DA FARE,GET TO DO,0.062513493001461,0.0849922075867652,0.1447285413742065,person
216,DATORE DI LAVORO,EMPLOYER,0.0149344289675354,0.1773054599761963,0.2064078003168106,person
217,DATTILOGRAFA,TYPIST,0.029664009809494,0.1242451667785644,0.2196593135595321,person
218,DECORATRICE,DECORATOR,0.0025472959969192,0.0719112232327461,0.1815813481807708,person
219,DENTISTA,DENTIST,0.0481786727905273,0.1633392870426178,0.1701533496379852,person
220,DESIGNER,DESIGNER,0.0040745288133621,0.1246222779154777,0.1446146965026855,person
221,DETECTIVE,DETECTIVES,0.0012849363265559,0.0925366207957267,0.137201115489006,person
222,DETERMINATA,DETERMINED,-0.0153189245611429,0.0390560701489448,0.0328825488686561,woman
223,DIAVOLO,DEVIL,0.0297692827880382,0.0609075687825679,0.1393166184425354,person
224,DIETOLOGO,DIETICIAN,0.001424525049515,0.1453177779912948,0.1245832443237304,woman
225,DIPENDENTE,EMPLOYEE,0.0513284988701343,0.1480045318603515,0.2176912873983383,person
226,DIPINGERE,PAINT,0.0343100242316722,0.1040374413132667,0.117774948477745,person
227,DIRETTORE,DIRECTOR,-0.0330609120428562,0.0686520859599113,0.1250237077474594,person
228,DIRETTRICE,DIRECTOR,-0.0330609120428562,0.0686520859599113,0.1250237077474594,person
229,DIRIGENTE,EXECUTIVE,-0.0287423375993967,0.0784351676702499,0.1153599321842193,person
230,DISEGNARE,DRAW,0.0455777235329151,0.0901978686451911,0.073595143854618,woman
231,DISEGNATORE,DESIGNER,0.0040745288133621,0.1246222779154777,0.1446146965026855,person
232,DISEGNATRICE,DESIGNER,0.0040745288133621,0.1246222779154777,0.1446146965026855,person
233,DISOCCUPATO,UNEMPLOYED,0.0044572171755135,0.1588504463434219,0.1853765547275543,person
234,DISORDINATO,MESSY,0.0311255361884832,0.1170838549733161,0.1044574081897735,woman
235,DISPONIBILE,AVAILABLE,-0.0983992367982864,-0.0091102961450815,0.0023927483707666,person
236,DIVULGATORE,RELEASER,0.1497618108987808,0.1180328056216239,0.2011902630329132,person
237,DJ,DJs,0.0227103549987077,0.1108487322926521,0.2086174637079239,person
238,DOCENTE,PROFESSOR,0.0121911326423287,0.1572220921516418,0.1836024820804596,person
239,DOLCE,SWEET,-0.0547746457159519,0.0444478541612625,0.0622656308114528,person
240,DOMESTICA,DOMESTIC,0.0612842962145805,0.1894475072622299,0.150725781917572,woman
241,DOMESTICO,DOMESTIC,0.0612842962145805,0.1894475072622299,0.150725781917572,woman
242,DONNA,WOMAN,0.0787084251642227,0.4146637618541717,0.1487176418304443,woman
243,DONNA DI CASA,WOMAN OF THE HOUSE,0.0787084251642227,0.4146637618541717,0.1487176418304443,woman
244,DONNAIOLO,PLAY BOY,-0.0433386676013469,0.0521523617208004,0.0789384841918945,person
245,DORMIGLIONE,SLEEPYLONE,0.1859222501516342,0.2048034518957138,0.2128507792949676,person
246,DORMIRE,SLEEP,0.0290358942002058,0.0974793881177902,0.0853099599480629,woman
247,DOTTORE,DOCTOR,0.0042507024481892,0.0846219733357429,0.097620703279972,person
248,DOTTORESSA,DOCTOR,0.0042507024481892,0.0846219733357429,0.097620703279972,person
249,DRIVER,DRIVERS,0.0570052601397037,0.1081484109163284,0.1835890710353851,person
250,ECCELLENTE,EXCELLENT,-0.0376322567462921,0.0251556057482957,0.0519509837031364,person
251,EDUCATORE,EDUCATOR,-0.0433872826397419,0.1343602389097213,0.2049807608127594,person
252,EDUCATRICE,EDUCATOR,-0.0433872826397419,0.1343602389097213,0.2049807608127594,person
253,EFFICIENTE,EFFICIENT,-0.060441967099905,0.0109666632488369,0.0655076056718826,person
254,EGOISTA,SELFISH,0.01836066134274,0.133427157998085,0.2461149543523788,person
255,ELEMENTO,ELEMENT,-0.0530939064919948,0.0208727288991212,0.0325090363621711,person
256,ELETTRAUTO,CAR ELECTRIC,0.0051303436048328,0.0524865090847015,0.0881821066141128,person
257,ELETTRICISTA,ELECTRICIAN,0.0417003184556961,0.0886176824569702,0.1579957455396652,person
258,ESCORT,ESCORT,0.0307553801685571,0.0926091000437736,0.1681868433952331,person
259,ESPERTO,EXPERT,0.0339214392006397,0.1170883551239967,0.146663948893547,person
260,ESSERE,TO BE,-0.0051526986062526,0.0924404114484787,0.1043795123696327,person
261,ESSERE UMANO,HUMAN BEING,0.082321211695671,0.2374987304210662,0.261055052280426,person
262,ESSERE VIVENTE,LIVING BEING,0.0088580548763275,0.0933876261115074,0.1452774107456207,person
263,ESTETISTA,BEAUTICIAN,0.0383924357593059,0.1225695610046386,0.135521188378334,person
264,FABBRO,BLACKSMITH,0.0587553903460502,0.1091166287660598,0.180953562259674,person
265,FACCENDIERE,CLERK,0.0070686871185898,0.0861895903944969,0.1489971727132797,person
266,FACCHINO,PORTER,0.0492640733718872,0.0863566920161247,0.1496354937553405,person
267,FACTOTUM,FACTOTUM,0.0723284259438514,0.1332469284534454,0.2082778364419937,person
268,FAI DA TE,DO-IT-YOURSELF,0.1588508486747741,0.1595995277166366,0.1090928465127945,woman
269,FALEGNAME,CARPENTER,0.0878595635294914,0.1655291765928268,0.2398001998662948,person
270,FANCAZZISTA,WONDERFUL,-0.050140842795372,0.0048404056578874,-0.0222211088985204,woman
271,FANCIULLA,CHILD,-0.0111029800027608,0.0972833707928657,0.1290779113769531,person
272,FANCIULLO,CHILD,-0.0111029800027608,0.0972833707928657,0.1290779113769531,person
273,FANNULLONE,LAUGHTER,-0.0506873317062854,0.085879698395729,0.0497785247862339,woman
274,FARE COSE ANCHE MASCHILI,DOING MALE THINGS TOO,-0.0142946494743227,0.0516030900180339,0.0615635514259338,person
275,FARE DOLCI,MAKING SWEETS,-0.0225312989205122,0.0487217605113983,0.0828203558921814,person
276,FARE I COMPITI,DOING HOMEWORK,-0.0142946494743227,0.0516030900180339,0.0615635514259338,person
277,FARE I CONTI,MAKE THE ACCOUNTS,0.0026661886367946,0.074773371219635,0.0960261076688766,person
278,FARE LA SPESA,DO THE SHOPPING,-0.027194919064641,0.0605539679527282,0.0529284141957759,woman
279,FARE LAVORI PESANTI,DO HEAVY WORK,-0.027194919064641,0.0605539679527282,0.0529284141957759,woman
280,FARE LE FACCENDE DI CASA,DO THE HOUSE CHORES,-0.027194919064641,0.0605539679527282,0.0529284141957759,woman
281,FARE LE FACCENDE DOMESTICHE,DO THE HOUSEWORK,-0.027194919064641,0.0605539679527282,0.0529284141957759,woman
282,FARE LE PULIZIE,DO THE CLEANING,-0.027194919064641,0.0605539679527282,0.0529284141957759,woman
283,FARE PICCOLE RIPARAZIONI,MAKE MINOR REPAIRS,0.0026661886367946,0.074773371219635,0.0960261076688766,person
284,FARE PICCOLI LAVORI DOMESTICI,DO SMALL HOUSEHOLD WORK,-0.027194919064641,0.0605539679527282,0.0529284141957759,woman
285,FARE TUTTO,DO EVERYTHING,-0.027194919064641,0.0605539679527282,0.0529284141957759,woman
286,FARMACISTA,PHARMACIST,-0.0051419306546449,0.1208911910653114,0.1283198595046997,person
